"";"ji.a";"gl.a";"p.val.a";"cc.a";"v.a";"ji.p";"gl.p";"p.val.p";"cc.p";"v.p"
"pp1";5,57;9;0,782;0,07;0,04;8,18;9;0,516;0,08;0,05
"pp2";10,37;9;0,321;0,09;0,05;9,23;9;0,416;0,09;0,05
"pp3";5,35;9;0,803;0,07;0,04;5,57;9;0,782;0,07;0,04
"pp4";40,7;9;0;0,18;0,1;3,81;9;0,923;0,06;0,03
"pp5";4,88;9;0,844;0,06;0,04;9,59;9;0,385;0,09;0,05
"pp6";15,39;9;0,081;0,11;0,06;7,98;9;0,536;0,08;0,05
"pp7";7,8;9;0,554;0,08;0,05;17,71;9;0,039;0,12;0,07
"pp8";3,58;9;0,937;0,05;0,03;4,7;9;0,859;0,06;0,04
"pp9";6,89;9;0,649;0,07;0,04;7,43;9;0,593;0,08;0,04
"pp10";7,53;9;0,582;0,08;0,05;5,19;9;0,817;0,07;0,04
"pp11";18,62;9;0,029;0,12;0,07;11,39;9;0,25;0,1;0,06
"pp12";19,06;9;0,025;0,12;0,07;9,15;9;0,424;0,09;0,05
"pp13";10,73;9;0,295;0,09;0,05;6,65;9;0,673;0,07;0,04
"pp14";21,56;9;0,01;0,13;0,08;8,85;9;0,451;0,08;0,05
"pp15";11,48;9;0,244;0,1;0,06;11,5;9;0,243;0,1;0,06
"pp16";25,88;9;0,002;0,14;0,08;19,73;9;0,02;0,13;0,07
"pp17";6,94;9;0,643;0,07;0,04;16,2;9;0,063;0,11;0,07
"pp18";12,71;9;0,176;0,1;0,06;10,46;9;0,315;0,09;0,05
"pp19";23,87;9;0,005;0,14;0,08;23,3;9;0,006;0,14;0,08
"pp21";17,49;9;0,042;0,12;0,07;6,05;9;0,735;0,07;0,04
"pp22";18,86;9;0,026;0,12;0,07;6;9;0,74;0,07;0,04
"pp23";21,08;6;0,002;0,13;0,09;3,85;6;0,697;0,06;0,04
"pp24";21,82;9;0,009;0,13;0,08;19,17;9;0,024;0,12;0,07
"pp25";4,19;6;0,651;0,06;0,04;5,31;6;0,504;0,07;0,05
"pp26";13,48;9;0,142;0,1;0,06;10,54;9;0,308;0,09;0,05
"pp27";4,97;9;0,837;0,06;0,04;10,72;9;0,295;0,09;0,05
"pp28";10,8;9;0,29;0,09;0,05;5,76;9;0,763;0,07;0,04
