"";"r";"X1";"X2";"p.val"
"p1.cor";0,02;-0,04;0,07;1
"p2.cor";0;-0,05;0,06;1
"p3.cor";-0,03;-0,08;0,03;1
"p4.cor";-0,02;-0,07;0,04;1
"p5.cor";-0,03;-0,08;0,03;1
"p6.cor";-0,01;-0,06;0,05;1
"p7.cor";0,02;-0,04;0,07;1
"p8.cor";-0,07;-0,12;-0,01;1
"p9.cor";0,02;-0,04;0,07;1
"p10.cor";-0,03;-0,08;0,03;1
"p11.cor";0,04;-0,02;0,09;1
"p12.cor";-0,02;-0,08;0,03;1
"p13.cor";-0,02;-0,08;0,03;1
"p14.cor";-0,02;-0,08;0,03;1
"p15.cor";-0,03;-0,09;0,02;1
"p16.cor";0,02;-0,03;0,08;1
"p17.cor";-0,04;-0,09;0,02;1
"p18.cor";-0,01;-0,06;0,05;1
"p19.cor";0;-0,06;0,05;1
"p21.cor";0,02;-0,04;0,07;1
"p22.cor";0,02;-0,04;0,07;1
"p23.cor";-0,06;-0,11;0;1
"p24.cor";0;-0,05;0,06;1
"p25.cor";0,02;-0,04;0,07;1
"p26.cor";0,02;-0,04;0,07;1
"p27.cor";-0,01;-0,06;0,05;1
"p28.cor";0;-0,06;0,05;1
