"";"pci";"bp.f";"bp.p";"cd.f";"cd.p";"hd.f";"hd.p";"pc.f";"pc.p"
"1";"pp1";768;61,24;19;1,52;463;36,92;4;0,32
"2";"pp2";675;53,83;96;7,66;327;26,08;156;12,44
"3";"pp3";994;79,27;6;0,48;239;19,06;15;1,2
"4";"pp4";661;52,71;151;12,04;313;24,96;129;10,29
"5";"pp5";811;64,67;55;4,39;341;27,19;47;3,75
"6";"pp6";791;63,08;58;4,63;304;24,24;101;8,05
"7";"pp7";714;56,94;76;6,06;434;34,61;30;2,39
"8";"pp8";967;77,11;10;0,8;268;21,37;9;0,72
"9";"pp9";805;64,19;80;6,38;238;18,98;131;10,45
"10";"pp10";841;67,07;50;3,99;305;24,32;58;4,63
"11";"pp11";636;50,72;126;10,05;357;28,47;135;10,77
"12";"pp12";790;63;25;1,99;428;34,13;11;0,88
"13";"pp13";737;58,77;56;4,47;429;34,21;32;2,55
"14";"pp14";903;72,01;29;2,31;318;25,36;4;0,32
"15";"pp15";569;45,37;184;14,67;428;34,13;73;5,82
"16";"pp16";625;49,84;18;1,44;609;48,56;2;0,16
"17";"pp17";984;78,47;3;0,24;265;21,13;2;0,16
"18";"pp18";892;71,13;38;3,03;307;24,48;17;1,36
"19";"pp19";642;51,2;141;11,24;442;35,25;29;2,31
"20";"pp21";673;53,67;61;4,86;509;40,59;11;0,88
"21";"pp22";1007;80,3;3;0,24;238;18,98;6;0,48
"22";"pp23";909;72,49;2;0,16;343;27,35;NA;NA
"23";"pp24";805;64,19;34;2,71;377;30,06;38;3,03
"24";"pp25";1046;83,41;207;16,51;1;0,08;NA;NA
"25";"pp26";741;59,09;67;5,34;412;32,85;34;2,71
"26";"pp27";901;71,85;25;1,99;313;24,96;15;1,2
"27";"pp28";949;75,68;13;1,04;278;22,17;14;1,12
