"pci";"p.ah";"ll.ah";"ul.ah";"p.vm";"ll.vm";"ul.vm";"p.ni";"ll.ni";"ul.ni";"p.sc";"ll.sc";"ul.sc"
"p1";0;0;12.32;1.78;0.83;3.62;1.94;1.02;3.55;1.61;0.42;5.02
"p2";11.43;3.73;27.68;19.15;15.68;23.17;20.99;17.75;24.62;22.04;16.45;28.82
"p3";0;0;12.32;1.11;0.41;2.73;1.94;1.02;3.55;2.69;0.99;6.5
"p4";14.29;5.38;31.04;16.04;12.83;19.84;22.75;19.41;26.47;37.1;30.23;44.51
"p5";5.71;1;20.52;8.02;5.75;11.03;9.17;6.98;11.93;5.38;2.76;9.95
"p6";8.57;2.24;24.19;13.59;10.62;17.19;10.76;8.39;13.67;16.13;11.31;22.39
"p7";5.71;1;20.52;7.57;5.38;10.52;8.29;6.21;10.95;11.29;7.29;16.95
"p8";0;0;12.32;1.56;0.68;3.33;1.76;0.9;3.33;1.08;0.19;4.24
"p9";8.57;2.24;24.19;17.15;13.84;21.03;17.28;14.31;20.71;15.59;10.85;21.79
"p10";2.86;0.15;16.62;10.02;7.48;13.27;7.58;5.6;10.16;8.06;4.74;13.2
"p11";2.86;0.15;16.62;23.61;19.81;27.87;21.52;18.25;25.18;15.05;10.4;21.2
"p12";2.86;0.15;16.62;4.68;2.99;7.18;1.06;0.43;2.41;3.23;1.32;7.21
"p13";5.71;1;20.52;6.9;4.81;9.76;6;4.25;8.36;10.22;6.42;15.71
"p14";8.57;2.24;24.19;1.78;0.83;3.62;2.12;1.15;3.77;4.84;2.38;9.28
"p15";8.57;2.24;24.19;21.16;17.53;25.29;20.28;17.1;23.88;22.04;16.45;28.82
"p16";0;0;12.32;0.67;0.17;2.11;2.29;1.28;3.99;2.15;0.69;5.77
"p17";0;0;12.32;0.45;0.08;1.78;0.35;0.06;1.41;0.54;0.03;3.42
"p18";0;0;12.32;5.79;3.89;8.48;2.65;1.54;4.43;6.99;3.93;11.91
"p19";5.71;1;20.52;14.48;11.42;18.15;14.11;11.4;17.31;10.22;6.42;15.71
"p20";0;0;12.32;0;0;1.06;0;0;0.84;0;0;2.52
"p21";5.71;1;20.52;7.57;5.38;10.52;4.41;2.93;6.53;4.84;2.38;9.28
"p22";2.86;0.15;16.62;0.22;0.01;1.43;0.71;0.23;1.92;1.61;0.42;5.02
"p23";0;0;12.32;0;0;1.06;0;0;0.84;1.08;0.19;4.24
"p24";2.86;0.15;16.62;7.35;5.19;10.27;4.23;2.79;6.32;6.45;3.53;11.26
"p25";0;0;12.32;0.22;0.01;1.43;0;0;0.84;0;0;2.52
"p26";14.29;5.38;31.04;7.13;5;10.02;6.88;5;9.36;11.83;7.72;17.57
"p27";0;0;12.32;3.12;1.78;5.3;2.65;1.54;4.43;4.3;2.01;8.6
"p28";2.86;0.15;16.62;1.56;0.68;3.33;2.29;1.28;3.99;2.69;0.99;6.5
